		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   184   | Type D, 22 | Type C,  7 | Type B,  3 | Q Total:    14 | No queue items | 
  Time:   185   | Type D, 21 | Type C,  6 | Type B,  2 | Q Total:    14 | No queue items | 
  Time:   186   | Type D, 20 | Type C,  5 | Type B,  1 | Q Total:    15 | No queue items | 
  Time:   187   | Type D, 19 | Type C,  4 | Type B,  2 | Q Total:    14 | No queue items | 
  Time:   188   | Type D, 18 | Type C,  3 | Type B,  1 | Q Total:    14 | No queue items | 
  Time:   189   | Type D, 17 | Type D, 21 | Type C,  2 | Q Total:    15 | No queue items | 
  Time:   190   | Type D, 16 | Type D, 20 | Type C,  1 | Q Total:    16 | No queue items | 
  Time:   191   | Type D, 15 | Type D, 19 | Type A,  4 | Q Total:    15 | No queue items | 
  Time:   192   | Type D, 14 | Type D, 18 | Type A,  3 | Q Total:    16 | No queue items | 
  Time:   193   | Type D, 13 | Type D, 17 | Type A,  2 | Q Total:    16 | No queue items | 
  Time:   194   | Type D, 12 | Type D, 16 | Type A,  1 | Q Total:    16 | No queue items | 
  Time:   195   | Type D, 11 | Type D, 15 | Type D, 13 | Q Total:    16 | No queue items | 
  Time:   196   | Type D, 10 | Type D, 14 | Type D, 12 | Q Total:    17 | No queue items | 
  Time:   197   | Type D,  9 | Type D, 13 | Type D, 11 | Q Total:    18 | No queue items | 
  Time:   198   | Type D,  8 | Type D, 12 | Type D, 10 | Q Total:    18 | No queue items | 
  Time:   199   | Type D,  7 | Type D, 11 | Type D,  9 | Q Total:    18 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   200   | Type D,  6 | Type D, 10 | Type D,  8 | Q Total:    18 | No queue items | 
  Time:   201   | Type D,  5 | Type D,  9 | Type D,  7 | Q Total:    19 | No queue items | 
  Time:   202   | Type D,  4 | Type D,  8 | Type D,  6 | Q Total:    19 | No queue items | 
  Time:   203   | Type D,  3 | Type D,  7 | Type D,  5 | Q Total:    20 | No queue items | 
  Time:   204   | Type D,  2 | Type D,  6 | Type D,  4 | Q Total:    20 | No queue items | 
  Time:   205   | Type D,  1 | Type D,  5 | Type D,  3 | Q Total:    21 | No queue items | 
  Time:   206   | Type B,  8 | Type D,  4 | Type D,  2 | Q Total:    21 | No queue items | 
